,0
291,Телефон просто отличный! Но через 6 месяцев использования залипла кнопка home и телефоном стало невозможно пользоваться
292,"Не очень, выбрала бы другой"
293,"Телефон куплен недавно ,выбирал эту модель из за качественного дисплея ,пока всем доволен.Приятно пользоваться смартфоном ,ни каких лагов"
294,"телефон норм , учитывая его размеры . только накрылся быстро : виснет , разряжается , слабоват однако"
295,"Отличный смартфон, пользуюсь 2 дня все работает на «отлично». Все заявленные характеристики соответствуют действительности."
296,Я не знаю почему тут так все нахваливают камеру в 13 мегапикселей. В работе она и на 5 то не тянет. Очень размытые фото ооочень долго фокусирует и от того что сфокусировала фото все равно ужасного качества. С фронтальной камерой та же история спасает то что у фронтальной камеры есть всышка она немного исправляет ситуацию. И если бы не камера то в целом телефон хороший.
297,"Пользуюсь только один день,впринципе довольна,но не понятно заявлен андроид один,а по факту версия 6.0. 1 както нестыковочка,но мне не очень это понравилось,коробка с пломбами,нарушений целостности нет,возникает вопрос тогда почему он уже был заряжен"
298,"мне не понравился. взял из-за дизайна. очень красиво смотрится. но работает так себе. и цена все же сильно завышена. тут пишут телефон висит, на самом деле не висит просто плохо отзывается на нажатие. приходится нажимать пару раз не сразу реагирует. на морозе оставил в машине, дисплей покрылся инеем и вообще перестал отзываться на нажатие. сказали случай не гарантийный.  в принципе наверное телефон хороший, но только не для России, а для более южных стран."
299,"Очень слабый телефон, хотя позиционируется как модель среднего уровня.  Из плюсов в дополнение к внешнему виду неплохая камера. На этом положительные стороны заканчиваются. Минусы: просто ужасно тормозит, оперативной памяти не хватает даже для того, чтобы удерживать два приложения: стоит выйти из одного приложения и на секунду включить другое, а затем вернуться в первое - все, сессия в первом пропала. То есть, ни о какой многозадачности и речи нет. Приложения запускаются очень долго, реально тормозят. И это при том, что у меня нет особых запросов к производительности, просто хочется, чтобы не было лагов. В общем, разочарование."
300,"Красивый, две симки

Минусы: тормозит на простейших операциях (при 1gb свободной оперативки из 2х), сканер часто срабатывает со второго раза, камера в сумерках никакая."
301,"через пару недель, сам собой изогнулся корпус и на всех углах появились трещины! до этого был 6с про, остался доволен, заценил марку. и тут на тебе.. а по производительности и тд. нареканий нет. хотя чему тут удивлятся, когда и хваленые самсунги тоже порой и глючат и взрываются, были случаи. хорошо что застраховал, планирую сдать."
302,"Телефон не оправдал своих ожиданий, зарядку  не держит больше 6 часов, обычный телефон на андроиде,каких-либо супер функций не заметила"
303,"Долго выбирал себе новый телефон, остановился на этом. В целом неплохой, но есть одно большое НО - это кусок мыла, а не телефон, все остальные плюсы и минусы отходят на второй план, по сравнению с этим. Пользоваться невозможно. Куда только смотрели разработчики. Конечно на витрине он красивый, блестит, но из рук валится постоянно, поэтому думаю долго он у меня не прослужит. Хорошо, что в эльдорадо купил его с хорошей скидкой по акции. В общем Эльдорадо 5, телефону 3, только из-за эргономики."
304,"Очень тихий, в машине постоянно пропускаю звонки т.к. не слышу, слабый виброзвук, плохо ловит сеть на 3G. Wi-Fi, если сравнить с алкатель у мужа, кино, видео через Wi-Fi, c перебоями, на алкатель летают. это большой минус."
305,"Мне телефон очень нравился, особенно фотографии идеального качества, но не прошло и года, как потек экран! Не известно по каким причинам, телефон не роняла не давила. Вечером положила, легла спать утром проснулась а на экране огромное синее пятно которое росло пока не заполонило весь экран. Ставить новый дисплей стоит почти столько же сколько и новый телефон. Теперь не знаю что делать..."
306,"Телефон сам сделан каыественно, учтенно много мелочей, которые являются дополнительным бонусом! Есть большой МИНУС - СВЯЗЬ ЛОВИТ ОЧЕНЬ ПЛОХО!! за три дня его существования у меня - очень много смс о пропущенных звонках. еще он не громкий, звонки и смс очень тихие! немного разочаровалась"
307,"Первый телефон купила, пошла на следующий день менять, оказался бракованным (меня слышали, я не слышала). Поменяли без проблем, посоветовав ""нормальный телефон купить"". Смысл слов дошёл позже. Нагревается жутко. Батарея садится быстро, буквально 5-6 часов с интернетом. Тормозит с приложениями. Не всегда срабатывает экран, порой просто невозможно разблокировать."
308,пользуюсь слишком короткое время для оценок
309,"Через год после покупки телефон стал плохо заряжаться. Заменила гнездо зарядки, заменила на новую батарейку.  Через месяц он просто перестал заряжаться обычной зарядкой. Пришлось заржать лягушкой. Кнопка включения вечно глючила. Через пару месяцев телефон разрядился и больше никак не заряжался. В итоге промучалась я ним  почти 2 года."
310,"телефон глючит ,лагает,живет своей жизнью.еще полгода ему нет,подумайте прежде чем этой фирмы покупать что то"
311,С гироскопом и акселерометром не поддерживает игры виртуальной реальности.
312,"Повелась на заряд батареи - по-началу реально долго держит, но после месяца -двух пользования быстро садится. Пользуюсь 3 месяца постоянно все тупит, зависает, кнопка блокировки отказывает периодически, камера - особенно фронтальная плохая очень. Ещё из минусов то, что 16 ГБ реально мало, место постоянно нет, приходится удалять приложения."
313,Во первых 16 это очень мало из них 6 это система во вторых тел очень греется сразу випомнил s5 от самсунга отпечаток плохо работает на холоде и с сырыми руками про долгую зарядку я молчу если вы не играете в игры и не пользуетесь интернетом тогда телефон для вас а в остальном тел не очень много старонних програм которые нельзя удалить ятелефон разряжал игрой за четыре часа и это ещё не самая требовательная игра
314,"из минусов- плохая камера, (пытался сфотографировать текст, но фокус не всегда может настроится) чувствительность дисплея, непонятная записная книжка (контакты пропадают, а именно номер остается, но наименование контакта удаляется), неудобное расположение колонки (не слышно, когда телефон лежит на колонке), скользкий,"
315,"Ребят, не берите этот аппарат, по началу телефон и правда нравился, шустрый, держит заряд, но спустя 2 недели перестал работать фокус камеры, начал тупить, на днях поставил на зарядку, всю ночь заряжался и не зарядился совсем, хотя индикатор зарядки горел, хотя телефону 1.5 месяца"
316,шикарный телефон уже 2 месяца взяла себе красный про микрофон бред всё прекрасно работает
317,"Купил 9го, очень доволен, достал синего цвета"
318,"Наконец решил поменять старичка Galaxy S5 на новую модель от Самсунг Galaxy S7 Edge.
Что можно сказать - разочарован, следующий телефон точно не будет Самсунгом.
Виной всему не качество телефона - он вполне пристойно сделан, а сервисная политика производителя.
К сожалению, уронил телефон (в фирменном чехле Самсунг, кстати!)
По углу экрана пошла паутина трещины.
Решил уточнить стоимость замены стекла и.... обалдел.
Стекло отдельно не меняется, только экран целиком, и замена стоит .... 25000 руб !
Господа, это же полцены телефона! Мобильный телефон может упасть и удариться экраном, это случается!
Даже на iPhone 6S замена стоит дешевле - в районе 16000 руб, при том что телефон той же цены что и Гэлэкси!
На мое обращение в Самсунг меня вежливо послали, что они не контролируют сервисные центры. Как же так, господа, это же вы поставляете им запчасти за безумные деньги, и подтверждаете их статус сервис центра!
Разве не в ваших интересах поддерживать привлекательность использования устройства в целом, или ""продал-забыл""?




Ну и батарейка слабее стала (а точнее, очень много неотключаемых сервисов), если раньше на 2 дня хватало, теперь нужно заряжать каждый день."
319,"Купила в сентябре месяце, сначала было все ок, нравился.....НО спустя 3 месяца внезапно исчезло изображение, просто черный экран, отвезла в сервис-там он воскрес вроде как, но спустя месяц все началось по-новому....сейчас все еще в ремонте-толком ничего не говорят, и не делают. Так что пока только отрицательные эмоции и не известно сколько еще с ним намучаюсь."
320,"Самый главный минус телефона, это его хрупкость экрана, достаточно одного падения об ламинат и телефон разбивается в дребезги. Не советую приобретать."
321,"Дарила данный телефон мужу на новый год ,так вот не прошло и двух месяцев бережной эксплуатации,как в телефоне перестал работать отпечаток пальца,что мы только не делали-ничего не помогало,звонили в центр samsung сказали нести в ремонт дали номер и адрес.поехали в магазин где покупали ту рубин,написали заявление на обмен.спустя пару дней позвонили нам,в обмене только-только ремонт.так зачем нужен такой телефон за такие деньги.очень разочарованы и в телефоне и в магазине"
322,Камера плохо работает.
323,"Купила сыну, сначала все нравилось, спустя две недели при разговоре сплошное бульканье и шум, слов нет совсем. Сдали в магазин, они забрали на проверку, обновили ПО, стал работать нормально, через две недели опять тоже самое. То есть функцию телефона он выполнять не может. Будем сдавать опять, посмотрим что скажут в этот раз...."
324,"На третьем месяце использования начались подвисания. В игры не играю, в основном звонки, фото, соц. сети. Не падал, аккуратно обращаюсь. Два месяца идеально работал. Жаль."
325,"Стильно смотрится. хорошо лежит в руке. в комплекте чехол и гарнитура что очень порадовало. Рекомендую сразу же после покупки установить защитное стекло!!! я не наклеил и мой экран лопнул в кармане ,видимо где то сильно надавил."
326,"Купил этот тел жене. Стандартное меню. В описании было указано, что 8 гб памяти-из них 1.5 ос. По итогу оказалось, что после обновления всех приложений, памяти не осталось совершенно. Половина стандартных приложений бесполезны, однако их невозможно удалить. Звук до ужаса тихий. На улице его вообще не слышно. В квартире если чуть шумно, то также не услышать звонка. Камера внешняя неплохая. Фотографии достаточно четкие. Фронтальная камера-5мпикс, но по факту наверное  1-отвратительное качество. В общем, не очень хороший телефон даже с учетом его небольшой цены"
327,"Телефон не плохой,хорошая камера, но ПОСТОЯННЫЙ недостаток памяти просто рушит всю оценку из-за невозможности устанавливать программы и фотографировать что-либо"
328,Мало памяти. Камера плохая. Одно разочарование.
329,Ужасный телефон!!
330,"Ребят. Телефон на первый взглядь кажется не плохим. Но через неделю вы будете то и дело думать как бы его поминять. Памяти критически не хватает! Почти все программы которые мы часто используем: вайбер, фейсбук ютуб и другие нельзя переместить на флешку, я уж не говорю про многие игры. Вообщем что бы вы не делали (если конечно вы его не будите использовать как обычний мобильник... тогда зачем покупать смартфон если им нельзя пользоваться на свое усмотрени) будет писать не хватает памяти... Покупайте смартфон с внутренней памятью не мень 16 гигов. Прислушайтесь к моим словам, учитесь на чужих ошибках."
331,Все отзывы о хорошем смартфоне здесь липа.купил я этот j2 думал бюджетный хороший смартфон но не тут то было памяти от 8 гигабайт после установки системных приложений остается 1.3 так что о игрушках можете забыть поскольку приложения которые удалось установить что то типо вконтакте скайп и пару мелких игрушек память заполняется полностью а их еще и обновлять надо а места нету после того как память заполнится до краев смартфон начинает тормозить глючит сенсор.если вы думаете что проблема решится с помощью карты памяти то вы ошибаетесь так как телефон по умолчанию сохраняет все в память устройства.вообщем телефон  работать с ним тяжело + звук очень тихий я крайне не советую всем его покупать одно разочарование и выкинутые деньги.
332,Покупался в подарок --- но из-за омерзительно-тихого звука -- стыдно стало дарить-что-бы не оскорбить человека !!!! Так что валяется игрушка за месячную зарплату !!!
333,очень плохо слышу собеседника и телефон быстро нагревается
334,"Купил данный смартфон, после недели  пользования в левом верхнем углу начал люфтить дисплей. Такая же проблема была с 5S(( Эпл уже не тот, качество серьезно хромает!"
335,"Пользуюсь смартфоном данного производителя уже года четыре. Устраивал во всем, пока не стала сдыхать батарея. И как оказалось купить ее просто не реально, их нет в продаже! В сервисных центрах их тоже не продают. Прежде, чем покупать, подумайте, зап.частей и акссесуаров нет в продаже ни за какие деньги!!!"
336,"Телефон хороший,но мне брак попался динамик 1 не работает(."
337,"Почитала отзывы, в основном положительные,  купила и сдала в тот же день)   Батарея садится моментально, уже установлены приложения которые мне не нужны ( находятся на дисплее, в приложениях, чтоб их удалить, не нашла).Телефон нагрелся в руках за несколько минут. Не советую"
338,"Купил через интернет-магазин по акции. Срочно понадобился для жены в отпуск. Успели поюзать 2 дня до отъезда. Что успел увидеть сам: камера средненькая, на заявленные пиксели не тянет. Самостоятельно стали открываться какие-то приложения. Не успел разобраться, думал сенсор чуткий, иконки задеваю случайно, не замечаю. В общем такой своей жизнью он прожил еще 5 дней после отъезда, а потом умер. Просто все свернул и перестал включаться. Никакие танцы с бубнами не помогли его оживить. Сейчас пользуются телефоном сына. Благо у того и телефон получше и камера покруче. Привезут, посмотрю сам. Но что-то мне подсказывает, что придется его сдавать."
339,"Эксперт месяца. В целом доволен. Не жалею что потратил такие деньги... Но нет эффекта вау который был в 2010, 2013, 2014. Толи я зажрался. Толи придумывать нечего. Толь Apple все же халявит немного."
340,Аппарат попался с браком. Очень быстро садится зарядка
341,"выбирал в подарок. Когда взял аппарат в руки первое впечатление повлияло на покупку :) Просили не очень большой с нормальной камерой. Дисплей очень красивый,много удобных функуций,как экономия батареи. Легко разобраться. все практично и ясно, заслуга прошивки - самсунг, незнаю, но очень благодарен подарком очень довольны!"
342,Купил на день рождение брату. Он очень рад
343,В первые же дни телефон начал терять сеть. До меня сложно было дозвониться.
344,не согласна с Анастасией.
345,"Покупкой была довольна, но на следующий день разбила экран телефона."
346,"Телефон в целом нормальный за исключением одного большущего минуса. Мне попался глюченый экран. Телефон самостоятельно опускает верхнюю шторку при чем делает это дергано и одновременно выходит на главный экран. Такое ощущение, что он залипает от множественных касаний, хотя касался одним пальцем. Завтра пойду и попробую обменять на провереный Хонор 8 или Ксиоми."
347,"звук в телефоне плохой. По прежнему СОНЬКИ не исправили свой звуковой косяк. ДА убрали мембрану водопроницаемости , но от этого звук стал не намного лучше. У айфона 6 звук на много лучше, практически идеальны везде. Если бы в айфоне6 был андроид, то он был бы лучшим телефоном."
348,"Телефон по функциям хороший и Камера оооочень хорошая,но на этом все. Минусов куча-стекло не стекло,при любом падении трескается ,даже защитное стекло не помогло. Поменяла полностью дисплей и что выдумаете,опять от паления не работает дисплей вообще,а ремонт на минутку 6000 тыс стоит. Связь так же он ловит плохо,при любом холоде отключается. Короче уууужас"
349,"Яркий экран,шустрый интернет,быстрый сенсор - вроде все так. А теперь детально. При такой цене качество материалов совсем никакое. За 1(ОДИН) месяц обычной эксплуатации весь корпус в коцках и стекло тоже. После нескольких раз использования сенсора просит удалить с него грязь (которой там и в помине нет). Отсутствует индикация пропущенных событий. Звук в наушниках посредственный,громкость средняя. За такую цену можно найти более продвинутую трубу. Кто хочет приобрести подумайте сто раз. Эйфория от первых впечатлений быстро улетучится."
350,"Замечательный телефон, покупал в подарок супруге, она всем довольна:)"
351,"До этого пользовался iphone 5 решил попробовать данную моделью, порадовал дизайн телефона, в комплекте жаль нет наушников, но  в сравнении с айфоном 5  громкость выше и качество звучания порадовало, телефон в руке лежит хорошо и удобно, оригинальное зарядное устройство быстро заряжает телефон (в течении 20 минут 40%)."
352,Из плюсов: не плохая батарея;не сильно греется;не лагает на средних прогах.
353,"Непонятно зачем надо было заморачиваться с красивым переливающимся корпусом, если все равно использовать телефон без бампера или чехла практически невозможно. Гладкая скругленная поверхность задней стенки дает ему возможность соскальзывать откуда угодно. За пару дней эксплуатации он трижды умудрился упасть со стола без постороннего участия, где просто лежал на зарядке. Держать тоже не очень удобно - выскальзывает из рук."
354,"ужас...пользуюсь 3 месяца, сенсор глючит, клава не появляется, из приложений выкидывает, контакты и журнал переодически не грузятся. После оф обновления не видит карту памяти"
355,"Купила данный телефон своей маме, сама модель удобна - ничего лишнего, без наворотов и очень легко настраиваемая, чтобы человеку, который никогда не пользовался сенсорным телефоном к нему привык. Есть одно, очень напряженное но: постоянно слетает интернет. Включение и выключение его не спасает от этого, перезагрузка тоже, помогает только переход с 4g на 2g и затем снова на 4g, но для обычного человека слабо понимающего в телефонах это все слишком сложно. Интернет сам захотел отключился и больше не включается. Слишком много мороки и капризов с интернетом, телефон подводить так не должен."
356,"теряюсь , что теперь с ним делать, всего неделю назад купила, а настроение испорчено"
357,"НЕ БЕРИТЕ!!!
Через год можно пользоваться, разве что, как разделочной доской!
И это после крайне бережного обращения с устройством (только лицензионное ПО, никогда не падал и т.п.).
Сначала нравился очень, но... Пришли достаточно большие обновления на 900 мб, после их установки начали пробегать белые полосы по экрану и при очень низкой зарядке не видит сим-карту во время работы в приложениях. На тот момент не так сильно беспокоило, т.к. происходило это при заряде ~5%. Со временем такое стало происходить при зарядке и 49%, стал отключаться по любому поводу.
После сброса настроек до заводских ничего не изменилось.
Знаете, что сказали в Самсунге? ""У нас все обновления проверяются перед выгрузкой на сайт,"" - то есть, с себя ответственность сняли. Но факт остаётся фактом.
Если хотите купить себе дорогую разделочную доску за 25+ тысяч рублей - покупайте Samsung Galaxy Tab S 8.4 SM-T705!
Выходит, на Самсунг надеяться нельзя! Выуживают деньги на поломках, которые сами же и устраивают пользователям!"
358,"Телефон всем хорош, и в руке лежит как влитой и корпус качественный и даже дисплей сносный, НО переодически теряет сеть, при этом индикация этого не выдаёт... промучился с ним пол года, после того как тел стал самостоятельно при исходящем звонке подставлять вместо выбранных контактов последний набранный понял, что терпение лопнуло... Если не для голосовых звонков, то хороший, но телефон обычно покупают именно для этого!"
359,"Обычный телефон с ненужными плюшками. Стив, как же нам вас не хватает."
360,"Пользуюсь два месяца. Батарею бы побольше емкости. Функционал прекрасен.   В целом просто дорогой понт, не более."
361,"Ну так, смарт как смарт, winphone не хуже, а в чем то на винде и получше"
362,"Пользуюсь 2 недели, эффекта ах не получилось. Во второй день при вставленной флешке виснет. Без флешки работает норм. Звук слабее ,чем у хонор 7с(сыну приобрели) .При наклейке пленки заводской чувствительность потеряна , а на 7с без проблем."
363,"Из минусов следует отметить невозможность установки одновременно двух SIM-карт и карты памяти microSD. То есть, либо вторая SIM-карта, либо карта памяти."
364,купила телефон так красиво рассказывали про него. зарядка очень плохая на 6 часов хватает. по скайпу поговорили было 100 процентов час 20 поговорили стало 52 процента. очень не довольна телефоном ! а еще приходится по несколько раз нажимать на функции с первого прикосновения не понимает
365,"Хороший, красивый и мощный смартфон, но дико бесят лаги при скролинге. Прокрутка страниц жутко тормозит. Надеюсь в ближайшем обновлении это исправят."
366,"нельзя убрать блокировку экрана , только путем сброса настроек. часто зависает. мало памяти, не хватает на необходимые виджеты, плохой звук,небольшой объём батареи. телефону 6 месяцев"
367,"телефон хороший,но камера ужасно фоткает"
368,"Попробовала снять сверхзамедленное видео, и вообще не впечатлило видео мутное и размытое получается"
369,Тысяч за 30 было бы норм.
370,"Телефоном не доволен. Покупал в июне 18 года. На данный момент очень сильно тормозит памяти до без образия мало, а сиди карта тут не поможет.. Не рекомендую"
371,"Камера тормозит. Иногда после блокировки не разблокировать. Думал брак, поменял в магазине на аналогичный - та же история. Не советую."
372,"Телефон не понравился, живет своей жизнью, музыка включается при полной блокировке лежа на столе, сенсор тугой, разъем для зарядки слабоват, легко расшатывается"
373,"Телефон удобно лежит в руке, задняя панель из какого-то мягкого пластика, легкий, удобно носить в кармане брюк, почти про него забываешь, что она там лежит. Из плюсов два динамика, громкие, на улице легко можно услышать, собеседника слышно обычно очень хорошо. Из минусов иногда не пойми с чем пропадает связь, не сразу, где-то через секунд 30-40.Мобильный Интернет можно сказать не ловит вообще, вифи домашний без проблем, ничего не тормозит. Батарейка со временем разработается и будет держать три дня только на смс и звонках. Т.к есть второй телефон помимо этого, терпимо и сносно. Опыт использования пол года."
374,Плюсы: нет
375,Даже какой нибудь  сяоми  будет лучше чем этот телефон. Трата денег  в пустую.
376,"Телефон по дизайну хорош, но вот батарея плохо держит 3к ампер не хватает и дня, камера снимает хорошо только при хорошем освещении, края на дисплее нажимается и сам по себе хрупкий в руке как будто стекляшку держу в руках, дисплей розоватый не чисто белый, единственное за что покупают его за счет бренда за который переплачивает покупатель."
377,"Из плюсов: шустрый в интернете, камера отличная, даже фронтальная со вспышкой это радует, но качество желает лучшего. Корпус  и дизайн радует глаз.Можно работать с pdf  excel word файлами."
378,"Всё в этом смартфоне прекрасно,и экран хороший,и вид,и две симки,и слот карты памяти,и камера,сбалансированный по характеристикам смарт,и самое главное аккумулятор на 3000 который действительно держит долго аккум. Но есть одно большое НО:"
379,"Около двух лет смартфон работал исправно. Неплохая камера, памяти достаточно, чтобы быстро грузил и быстро работали приложения. Зарядки хватает надолго, при этом заряжается быстро. Но примерно через два года работы, после падения с небольшой высоты стал зависать и на следующий день отключился совсем. В мастерской сказали, что отлетела плата, что у Lenovo довольно часто встречается. За ремонт запросили стоимость больше, чем в половину нового. Решил купить другой."
380,"Был товаром дня, ожидала лучшего качество фотографий, на самом деле двойная камера здесь совершенно бессмысленна, лица мутные,свет ставится ближе к желтому всегда, зарядку держит при полной загруженности в интернете примерно часов 10, даже на сутки не хватает, один негромкий динамик это в минус, звонок, будильник можно просто не услышать, левая клавиша возрата в предыдущее меню стало немного подвисать, в дальнейшем как будет неизвестно, в остальном пока устраивает. В комплекте идёт чехол силиконовый в подарок."
381,"iphone se стоит покупать только если вам нужен компактный телефон, но со всеми возможностями современных телефонов. Его изюминка именно в сочетании компактности и мощности. Если вам есть куда положить смартфон с большой диагональю, то лучше такой и купите. Недостатком считаю малую емкость батареи, когда пользуешься заряд тает на глазах. Никакие режимы энергосбережения и отключения всех служб и анимации на деле не помогают. Заряд уходит одинаково во всех режимах. Это огромнейший недостаток, который портит всё. Особенностью iphone является то, что в телефоне уже есть красивые обои и красивые простые рингтоны и когда начинаешь ставить свои рингтоны и картинки, тут же пропадает вся магия ios, смартфон становится не отличить от андроида. Так что если любите всё оформлять под себя, то купите смартфон на системе андроид, там всё это делается без проблем, да еще можно найти смартфон с большой емкостью аккумулятора и огромным дисплеем. Я купил этот смартфон только потому, что не хочу носить с собой ещё и сумку для смартфона в летнее время. Если сумка и так всегда с вами, то не советую к покупке."
382,"Не советую покупать телефон. Пустая трата денег. Приобрела телефон полгода назад, летом. Сначала всё хорошо работал, но было немного неудобно. Когда начались холода (с ноября), телефон стал трескаться. Закаленное стекло не должно трескаться, но оно начало разваливаться на глазах. Телефон ни разу не роняла и не топила, но через 3 месяца стал виснуть, половину приложений не открывать. Когда телефон стоял на зарядке, его нельзя было взять в руки, т к начинал бить током. Да, да. Удивительно, да? На блокировку телефон совершенно не реагирует. Сам включается, сам выключается и потом ничего с ним нельзя сделать. Громкость прибавляется и убавляется сама по себе. На пальцы перестал реагировать. Защитного стекла и чехла найти нереально. Запчастей нет. Не советую покупать его, пустая трата денег. Лучше взять что-то дорогое, но стоящее."
